City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,whitehorse,60.7161,-135.0538,28.43,28,20,6.17,CA,1723170599
83,kijang,35.2442,129.2139,27.4,76,0,3.79,KR,1723171038
84,blackmans bay,-43.0167,147.3167,14.85,54,76,1.34,AU,1723171039
85,san jose del guaviare,2.5729,-72.6459,23.85,87,31,0.37,CO,1723171040
86,north bend,43.4065,-124.2243,15.95,88,100,4.12,US,1723171041
87,poronaysk,49.2167,143.1167,15.19,95,100,3.47,RU,1723171042
88,uturoa,-16.7333,-151.4333,25.44,84,15,6.02,PF,1723170592
89,embi,48.8264,58.1442,19.85,75,1,5.25,KZ,1723171045
90,worms,49.6356,8.3597,16.06,84,79,1.51,DE,1723171046
91,dunda,-8.1167,34.25,12.82,63,41,1.11,TZ,1723171047
92,hermanus,-34.4187,19.2345,12.03,75,23,12.32,ZA,1723171048
93,ola,59.5833,151.2833,15.06,79,65,3.01,RU,1723171049
94,ginir,7.1333,40.7,14.48,89,80,2.83,ET,1723171051
95,suez,29.9737,32.5263,25.28,70,0,3.17,EG,1723171052
96,huarmey,-10.0681,-78.1522,17.02,84,96,4.02,PE,1723170535
97,mount gambier,-37.8333,140.7667,14.32,71,100,3.17,AU,1723171054
98,tazovsky,67.4667,78.7,9.47,68,12,6.59,RU,1723170687
99,okrika,4.7416,7.0849,23.43,92,100,2.1,NG,1723171056
100,arteche,12.2645,125.4048,32.54,59,97,2.38,PH,1723171057
101,papatowai,-46.5619,169.4708,9.83,65,1,4.04,NZ,1723171059
102,geraldton,-28.7667,114.6,16.23,88,0,3.6,AU,1723171060
103,hawaiian paradise park,19.5933,-154.9731,27.73,74,40,5.14,US,1723170831
104,haiku-pauwela,20.9219,-156.3051,27.87,72,20,10.8,US,1723171062
105,charters towers,-20.1,146.2667,25.41,32,0,4.74,AU,1723170972
106,hammerfest,70.6634,23.6821,20.25,56,11,5.66,NO,1723170578
107,sao jose do belmonte,-7.8614,-38.7597,19.46,87,4,3.51,BR,1723171066
108,mount pearl,47.5166,-52.7813,16.64,81,40,5.66,CA,1723170808
109,kerikeri,-35.2268,173.9474,13.73,62,88,2.99,NZ,1723171018
110,lincoln,40.8,-96.667,19.04,61,30,0.45,US,1723170535
111,tralee,52.2704,-9.7026,13.53,93,73,3.73,IE,1723171072
112,port elizabeth,-33.918,25.5701,15.17,58,0,5.14,ZA,1723171022
113,motygino,58.1831,94.7592,17.72,90,100,1.2,RU,1723171074
114,khorixas,-20.3667,14.9667,15.13,32,0,2.82,NA,1723171075
115,katsuura,35.1333,140.3,28.81,79,8,7.25,JP,1723170823
116,avarua,-21.2078,-159.775,22.03,56,75,3.09,CK,1723171078
117,biryusinsk,55.9634,97.8235,20.66,74,82,2.37,RU,1723171079
118,port lincoln,-34.7333,135.8667,15.6,60,94,2.51,AU,1723170782
119,piatykhatky,48.4133,33.7106,17.47,61,96,2.81,UA,1723171081
120,pymble,-33.75,151.15,20.09,62,100,1.79,AU,1723171082
121,saint-francois,46.4154,3.9054,13.69,100,0,1.03,FR,1723171083
122,ziway,7.9333,38.7167,17.45,86,55,2.35,ET,1723171085
123,bardai,11.65,7.2333,21.1,92,100,4.01,NG,1723171051
124,malpils,57.0111,24.9631,13.83,98,100,1.8,LV,1723171088
125,kavaratti,10.5669,72.642,27.01,83,99,4.13,IN,1723170494
126,stanley,54.868,-1.6985,16.01,89,40,5.66,GB,1723170606
127,fisterra,42.9049,-9.2629,18.91,90,9,6.96,ES,1723171061
128,dock junction,31.2025,-81.5168,29.0,81,40,3.09,US,1723171092
129,alofi,-19.0595,-169.9187,23.94,57,40,7.2,NU,1723171094
130,luderitz,-26.6481,15.1594,12.79,70,0,2.8,NA,1723171095
131,polyarnyy,69.1989,33.4478,12.16,62,7,5.28,RU,1723171096
132,lata,40.1629,-8.3327,13.94,94,7,0.22,PT,1723171097
133,qaqortoq,60.7167,-46.0333,5.8,95,100,1.35,GL,1723170758
134,prince rupert,54.3161,-130.3201,16.05,94,0,6.17,CA,1723171099
135,kirensk,57.7853,108.1119,24.13,48,13,2.49,RU,1723171100
136,barclayville,4.6797,-8.2339,23.18,84,100,2.99,LR,1723171102
137,saipan,15.1355,145.701,32.39,66,40,4.12,MP,1723171103
138,vernon,50.2581,-119.2691,28.74,32,24,1.54,CA,1723171041
139,drouin,-38.1333,145.85,15.46,52,49,2.94,AU,1723171105
140,berdigestyakh,62.0989,126.6992,24.06,36,21,2.31,RU,1723171106
141,constantia,44.1833,28.65,20.55,75,0,1.65,RO,1723171107
142,margaret river,-33.95,115.0667,18.31,63,43,6.31,AU,1723171108
143,lihue,21.9789,-159.3672,28.77,66,0,5.66,US,1723171110
144,xilin hot,43.9667,116.0333,26.31,45,100,6.11,CN,1723170546
145,yacuiba,-22.038,-63.6797,7.24,48,0,2.01,BO,1723171112
146,tiksi,71.6872,128.8694,5.23,91,100,5.69,RU,1723171113
147,alchevs'k,48.4689,38.8167,17.26,66,38,2.56,UA,1723171114
148,mahibadhoo,3.7833,72.9667,27.89,76,100,3.87,MV,1723171115
